Horodateur,"Pseudo Twitch  ",Pseudo Discord,Depuis combien de temps suis-tu Cruella sur Twitch ?,"Quelle parcelle tu dÃ©sires ?
(Premier arrivÃ© premier servi)
[Tu peux trouver les parcelles sur ce site internet, tu peux mettre peu importe si Ã§a t'est Ã©gal]
https://housing.wowdb.com/neighborhoods/alliance/",ğŸ Pourquoi veux-tu rejoindre le Housing ?ğŸ ,ğŸ As-tu une idÃ©e ou une suggestion pour le Housing ?ğŸ ,ğŸ Ã€ quelle frÃ©quence penses-tu venir dans le Housing ?ğŸ ,As-tu bien lu et acceptÃ© les rÃ¨gles du live / Discord de Cruella ?,"Un petit mot pour Cruella ?ğŸ’œ  ",Modo
2025/11/26 12:08:03 PM UTC+1,Dinokiller,dinokiller,Plus dâ€™un an,21,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:15:55 PM UTC+1,MrRivac,Rivac,Plus dâ€™un an,14,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:16:46 PM UTC+1,myrsky7,myrsky7,6 mois Ã  1 an,37,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:16:54 PM UTC+1,Lanhkhulay,Lanhkulay,Plus dâ€™un an,12,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:17:58 PM UTC+1,DekuLeBelge___,DekU,Plus dâ€™un an,34,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:18:06 PM UTC+1,Dinrax,Dinrax,Plus dâ€™un an,36,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:18:12 PM UTC+1,greghtwow,greghtwow,6 mois Ã  1 an,51,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:18:33 PM UTC+1,Ailedeau,Ailedeau,Plus dâ€™un an,25,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/26 12:18:53 PM UTC+1,Nelhane,Nelhane,Plus dâ€™un an,4,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:21:16 PM UTC+1,Chewbakablinder,Weazi,Plus dâ€™un an,54,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/26 12:23:01 PM UTC+1,niadari,niadari,Plus dâ€™un an,23,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/26 12:26:13 PM UTC+1,"Wyrwall ","wyrwall ",Plus dâ€™un an,15,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:30:47 PM UTC+1,Gourgandiine,Morierty,Plus dâ€™un an,28,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 12:51:29 PM UTC+1,celdur62,Celdur - Shigeku,Plus dâ€™un an,17,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/26 12:59:47 PM UTC+1,ImArakos,imarakos,Plus dâ€™un an,39,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/26 1:51:45 PM UTC+1,Merlynus831,Baguetteofromage,Plus dâ€™un an,41,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 1:54:20 PM UTC+1,Aexillium,Aexillium,Plus dâ€™un an,44,0,0,Je ne sais pas encore (je laisse le destin me guider âœ¨),Oui,0,1
2025/11/26 2:00:11 PM UTC+1,Brooki66,Brooki,Plus dâ€™un an,13,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 3:51:13 PM UTC+1,gordlock69,gordlock,Plus dâ€™un an,40,0,0,De temps en temps (quand jâ€™ai envie de passer dire coucou ou casser un pot de fleur ğŸ’),Oui,0,
2025/11/26 6:52:53 PM UTC+1,ChronicSmith_,chronicsmith,Plus dâ€™un an,46,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 7:17:59 PM UTC+1,Miisterdavid,davidzzzz,Plus dâ€™un an,1,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/26 7:49:05 PM UTC+1,Fennrriirr,Fenrirsulven,Plus dâ€™un an,31,0,0,Une fois par semaine (je passerai dire bonjour et vÃ©rifier que rien ne brÃ»leğŸ”¥),Oui,0,
2025/11/26 10:56:23 PM UTC+1,Sar0of,Sar0of,Plus dâ€™un an,48,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,1
2025/11/27 8:53:58 AM UTC+1,Almayril,Almayril,Plus dâ€™un an,53,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/29 10:13:42 AM UTC+1,Terysse,Teris,Plus dâ€™un an,5,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/29 12:44:52 PM UTC+1,Bloodyz40,Bloodyz,Moins dâ€™un mois,2,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
2025/11/29 14:15:34 PM UTC+1,Daguero02,Daguero,Plus dâ€™un an,18,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/29 14:17:09 PM UTC+1,Thornadis_tv,Thornadis,Plus dâ€™un an,11,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
2025/11/29 14:34:51 PM UTC+1,hassil,hassildorus,Plus dâ€™un an,9,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
30/11/2025 12:16:28,Ameuhrix,AmÃ©rix,Plus dâ€™un an,24,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
30/11/2025 13:34:40,Nephystv,Nephys,Plus dâ€™un an,20,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
30/11/2025 14:11:28,Sifanou,Azshara,Plus dâ€™un an,8,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
30/11/2025 15:13:34,Matt,MattpFR,Plus dâ€™un an,35,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
30/11/2025 17:11:07,MarLo_kh,m a r l o,Plus dâ€™un an,7,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
30/11/2025 23:50:04,Nyathi,Nyathi,Plus dâ€™un an,0,0,0,De temps en temps (quand jâ€™ai envie de passer dire coucou ou casser un pot de fleur ğŸ’),Oui,0,1
01/12/2025 00:34:49,Elawyn,Elawyn,Plus dâ€™un an,3,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,1
01/12/2025 21:26:29,Sasaryne,Sasaryne,Plus dâ€™un an,10,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
02/12/2025 19:26:29,Cruelladk,Cruelladk,Moins de 5 minutes Kappa,27,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,1
02/12/2025 19:36:29,Muntlight,Muntlight,Plus dâ€™un an,47,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,1
02/12/2025 19:18:12,AltanDK,AltanDK,Plus dâ€™un an,45,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
02/12/2025 20:14:14,Bredge,Bredge,Plus dâ€™un an,29,0,0,De temps en temps (quand jâ€™ai envie de passer dire coucou ou casser un pot de fleur ğŸ’),Oui,0,
02/12/2025 20:15:35,Laityp,Laityp,Plus dâ€™un an,42,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
02/12/2025 20:19:25,Taladium,Taladium,6 mois Ã  1 an,Peu importe,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
02/12/2025 20:22:22,Missouf,Missouf,Plus dâ€™un an,6,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
02/12/2025 20:23:23,Handante,Handante,Plus dâ€™un an,19,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu ğŸ¾),Oui,0,
03/12/2025 10:10:10,Alishatte,Alishatte,Moins de 30 secondes,Peu importe,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,1
03/12/2025 11:11:11,Pavell,Pavell,Moins de 30 secondes,Peu importe,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,
03/12/2025 11:11:11,Deelfy,Deelfy,Moins de 30 secondes,Peu importe,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisinsğŸŒ¿),Oui,0,